9
Modiin	2
Zikna	3
Sheerim	3
Avtala	5
Nechut	3
Siudi	4
Teunot	2
Kitsva	6
Tashlum	8
500
224164475	2	327	Tashlum	222
207819723	98	41	Tashlum	343
321572315	90	147	Sheerim	1173
006814974	19	132	Siudi	3152
039566195	31	197	Tashlum	276
238439301	5	492	Avtala	200
046104907	72	148	Avtala	186
224488841	39	300	Tashlum	306
024330904	9	148	Kitsva	420
004840245	149	91	Tashlum	266
339257636	11	243	Tashlum	51
038707170	191	267	Siudi	689
039802442	40	173	Tashlum	146
225716323	5	198	Tashlum	213
205062326	4	235	Zikna	372
215363896	42	153	Tashlum	51
003393477	6	434	Tashlum	174
331942359	24	126	Avtala	213
307308114	24	143	Tashlum	195
007663552	48	135	Avtala	475
009789843	54	197	Nechut	2246
315352690	59	397	Tashlum	425
225257336	51	71	Teunot	597
307106435	74	251	Tashlum	344
007489917	38	123	Tashlum	115
025478363	153	82	Tashlum	103
315900076	65	129	Tashlum	168
001924075	69	75	Tashlum	311
034621532	76	142	Tashlum	82
039994439	81	108	Tashlum	143
026794289	7	230	Tashlum	309
206876864	164	109	Tashlum	117
302733266	48	509	Avtala	168
003257557	73	218	Tashlum	349
207797358	71	122	Siudi	592
042342907	28	134	Zikna	314
216898221	33	271	Tashlum	164
215144197	15	573	Tashlum	148
032313900	152	137	Nechut	1056
225181569	25	59	Siudi	1772
204904569	8	135	Avtala	190
037726056	26	127	Teunot	541
221951148	8	143	Siudi	936
301426862	4	92	Tashlum	319
301097366	8	116	Zikna	406
028865624	85	110	Tashlum	294
223433616	19	144	Tashlum	421
037311214	111	97	Nechut	2101
003622479	96	69	Tashlum	348
216188979	27	109	Tashlum	165
032793267	3	178	Avtala	202
003426426	24	655	Tashlum	73
307038109	14	149	Siudi	2862
025740713	82	139	Tashlum	149
033517715	44	283	Avtala	462
229405683	90	98	Tashlum	117
231023771	33	301	Avtala	366
338175383	110	124	Tashlum	131
033215096	19	134	Teunot	1215
209035377	149	142	Avtala	445
237267158	34	96	Tashlum	76
036292241	85	127	Avtala	173
215517418	315	444	Tashlum	179
345255343	33	145	Zikna	906
236242889	11	248	Avtala	203
213363922	9	223	Avtala	462
022086151	6	106	Tashlum	265
004852091	88	470	Tashlum	227
048936371	45	110	Nechut	1173
035593250	7	89	Tashlum	187
203570841	40	140	Avtala	200
313966277	10	131	Tashlum	119
201462033	212	294	Kitsva	476
038821146	13	378	Tashlum	177
009756420	71	385	Siudi	1731
219150174	15	136	Teunot	2590
034325548	106	139	Zikna	379
221218795	131	335	Sheerim	1150
028224491	17	144	Avtala	212
035831734	137	247	Siudi	936
025266073	14	142	Tashlum	127
028702223	1	103	Tashlum	272
226086429	263	304	Tashlum	107
334075686	15	483	Avtala	669
216437707	22	98	Tashlum	110
049231335	77	104	Siudi	857
203540000	35	116	Avtala	180
207849423	26	657	Avtala	226
006505507	129	137	Tashlum	125
229512157	98	399	Avtala	192
222348641	48	116	Avtala	512
306399460	55	135	Zikna	365
034216168	25	131	Avtala	170
226789097	67	99	Sheerim	797
334924396	124	83	Kitsva	959
034731612	2	140	Kitsva	180
023192560	66	615	Tashlum	136
211280128	125	92	Tashlum	106
032923633	70	134	Nechut	1655
205601479	96	148	Avtala	218
307850750	9	224	Zikna	270
339188146	9	483	Tashlum	141
217153006	20	445	Tashlum	165
027169424	1	147	Tashlum	134
209696608	29	373	Zikna	488
048981476	15	437	Tashlum	117
335334504	21	114	Tashlum	136
219513884	70	698	Tashlum	326
007037252	19	447	Teunot	875
032540056	39	203	Tashlum	112
008828394	128	316	Tashlum	278
222521460	190	290	Tashlum	140
217760941	24	155	Siudi	798
318144466	75	387	Kitsva	342
203986146	191	337	Siudi	1310
322573593	249	113	Nechut	1132
214800674	9	382	Zikna	405
308004985	1	286	Tashlum	274
317778041	2	530	Tashlum	264
208266486	26	126	Kitsva	642
038255147	176	136	Tashlum	404
211012059	82	138	Tashlum	115
026265595	26	139	Tashlum	231
005909114	27	91	Tashlum	88
006394506	39	134	Zikna	532
309568301	28	146	Tashlum	140
035581958	20	280	Zikna	445
317728145	33	443	Avtala	174
005004700	17	95	Zikna	475
206036576	84	86	Zikna	201
033582776	86	457	Tashlum	149
333160588	13	496	Siudi	1900
033628223	71	213	Zikna	250
215027467	6	152	Avtala	377
349934752	155	465	Siudi	503
207267238	6	128	Avtala	226
039989470	18	178	Tashlum	134
038018685	27	240	Zikna	302
036824605	40	204	Avtala	675
316407063	23	391	Zikna	281
037074838	8	465	Tashlum	88
209472331	209	140	Avtala	729
322127093	72	126	Tashlum	69
302113972	19	101	Tashlum	304
038088464	14	148	Kitsva	1589
037540143	7	587	Avtala	115
313649048	32	234	Tashlum	103
032173668	288	139	Tashlum	142
324779131	13	367	Kitsva	350
336887377	53	139	Avtala	309
024116857	59	195	Sheerim	1036
332737808	25	92	Tashlum	146
033615337	20	302	Siudi	1427
001518497	22	141	Siudi	2705
228021689	76	465	Siudi	844
047684691	36	114	Kitsva	412
033573338	102	222	Tashlum	218
022150080	9	354	Sheerim	974
021222666	29	353	Zikna	217
